field,description,baseline_note
ts,接続開始時刻(UNIXエポック秒/-dで人間可読化),時間帯別の通信量集計の軸として使用
id.orig_h,送信元IPアドレス(内部ホスト側),内部ホストごとの通信傾向の把握に使用
id.resp_h,宛先IPアドレス(通信相手),上位通信先の特定とベースライン化に使用
id.resp_p,宛先ポート番号,常用外ポートや想定外サービスの検知に使用
proto,トランスポート層プロトコル(tcp/udp/icmp),プロトコル別分布の確認に使用
service,Zeekが推定したアプリケーション層サービス,irc等の未許可サービスの洗い出しに使用
orig_bytes,送信元から送信されたペイロードバイト数,データ量ベースラインの算出に使用
resp_bytes,応答側から送信されたペイロードバイト数,データ量ベースラインの算出に使用
conn_state,接続状態コード(SF/S0/REJ/RSTO等),正常終了以外の接続状態の異常検知に使用
duration,接続の継続時間(秒),異常に長い/短い接続の検知に使用
history,接続中に観測されたTCPフラグ等の履歴文字列,片方向通信やスキャンの兆候検知に使用
