stage_type,field,extract_to,rationale
json,level,label,値域が限定的でLogQLの絞り込みに使うためラベル化する
json,job,label,ジョブ種別も値域が限られているためラベル化する
json,request_id,metadata,高カーディナリティでラベル化するとインデックスが肥大化するためstructured_metadataに格納する
json,trace_id,metadata,高カーディナリティのためメタデータに格納しLogQLの|json展開で参照する
json,user_id,metadata,値域が大きくラベル化するとカーディナリティ爆発を招くためメタデータへ格納する
json,message,drop,本文はログ内容そのものでありラベルにもメタデータにも複製しない
regexp,status_code,label,Nginxアクセスログを正規表現でパースしアラート集計用ラベルとして保持する
regexp,response_time_ms,metadata,連続値で高カーディナリティとなるためメタデータに格納しLogQLで統計処理する
timestamp,event_time,drop,ログ発生時刻としてPromtail内部タイムスタンプに採用するのみでラベル化・メタデータ化はしない
template,level,label,大文字小文字を正規化してからlabelsステージでラベルへ昇格させる
structured_metadata,request_id,metadata,structured_metadataステージでインデックス外のメタデータとして明示的に付与する
